review_index,sentiment,aspect,adjective
65,POS,灯光,好看
65,POS,海风,舒服
66,POS,总体,好
66,POS,环境,美
66,POS,变化,大
66,NEU,天气变化,大
67,POS,景色,美
68,POS,温度,宜人
68,POS,感觉,喜欢
68,POS,酒店,近
69,POS,感觉,漂亮
69,POS,灯光,美
70,POS,地铁,方便
71,POS,寒风,凛冽
72,POS,拍照,美
73,POS,设计,独特
73,POS,地方,地方不错
73,POS,视野不错,
73,POS,景色,美
74,POS,环境,美丽
74,POS,感觉,喜欢
74,POS,感觉,方便
75,NEU,地方一般,
75,POS,灯光,好看
75,NEU,地方一般,
77,POS,感觉,赞
77,POS,景点不错,
78,POS,天气,好
78,POS,空气,清新
81,POS,花园,美
81,POS,地方,非常好
81,POS,地方,好
81,POS,拍照,好
81,POS,景色,美
81,POS,秩序,好
83,POS,景观,美
83,POS,景色,美
83,POS,植物,美
84,POS,环境,环境不错
84,NEU,流量,不大
85,POS,景色,美
85,POS,景色,美
87,POS,灯光不错,
88,POS,感觉,喜欢
88,POS,环境,好
89,POS,感觉,舒服
90,NEU,感觉,冷
92,POS,世界,大
94,POS,景点不错,
94,POS,门票便宜,
95,POS,天气,热
95,POS,花园,大
96,POS,感觉,惬意
98,POS,仙境,一般
98,NEU,气温,低
99,POS,花园,大
99,POS,夜景,美丽
100,POS,城市,大
102,POS,感觉,不错
103,POS,环境不错,
103,NEU,温度,低
105,POS,感觉,棒
105,POS,种类,齐全
106,POS,视野,干净
107,POS,感觉,棒
107,NEU,空气,不好
107,NEU,天空,蓝蓝
108,POS,灯光不错,
109,POS,景点不错,
109,POS,场地,大
111,POS,感觉,方便
111,POS,景色不错,
111,POS,夜景不错,
111,POS,灯光不错,
111,POS,灯光不错,
111,POS,色彩不错,
112,POS,酒店,近
112,POS,感觉,值
113,POS,地方,美丽
113,POS,景色,美
114,POS,地方,舒服
115,NEU,面积,不大
115,POS,感觉,不错
115,POS,消费水平,还可以
115,POS,景点不错,
116,POS,瀑布,棒
116,POS,灯光,好
116,POS,位置,好
117,POS,景色,美
117,POS,大瀑布,壮观
117,POS,位置,好
118,POS,花园,美
118,POS,夜景,棒
118,POS,感觉,棒
119,POS,感觉,喜欢
119,POS,风景空气,好
119,POS,空气,清新
119,POS,空气,干净
119,POS,景点不错,
120,POS,面积,大
120,POS,占地面积,大
120,POS,价格,合适
120,POS,门票,合适
120,POS,灯光,好看
121,POS,绿植,漂亮
121,POS,地方,美
121,POS,照片不错,
123,POS,植物,美
123,POS,仙境,一般
123,POS,感觉,漂亮
123,POS,公园,美
123,POS,公园,棒
123,POS,环境,干净
124,POS,天空,美
124,POS,位置不错,
125,POS,孩子,喜欢
125,POS,感觉,喜欢
126,POS,灯光不错,
126,POS,景色,美
127,POS,景色,美丽
128,POS,秩序,还好
128,POS,感觉,满意
128,POS,孩子,喜欢
129,POS,酒店,近
129,POS,花园,大
129,POS,灯光不错,
129,POS,气势磅礴,
129,POS,距离,近
129,POS,感觉,可爱
129,POS,视野不错,
129,POS,灯光不错,
131,POS,表演,精彩
132,POS,品种,多
132,POS,面积,大
132,POS,占地面积,大
133,POS,品种,多
133,POS,范围,广
133,POS,好玩,好玩
134,POS,城市建设不错,
134,POS,夜景,好看
135,POS,花园,不错
136,POS,照片不错,
136,POS,回忆,美好
138,POS,世界,大
138,POS,花园,大
138,POS,灯光,美
138,POS,确实,有名
138,POS,瀑布,壮观
138,POS,植物,多
138,POS,植物,好看
138,POS,花园,大
139,POS,环境,干净
140,POS,照片不错,
140,POS,夜景,美
141,POS,夜景不错,
141,POS,交通,发达
141,POS,停车,方便
141,POS,设施,齐全
141,POS,娱乐设施,齐全
141,POS,美景,壮观
141,POS,景色,绝佳
142,POS,灯光不错,
142,POS,景点不错,
142,POS,花园,大
142,POS,气候不错,
144,POS,夜景不错,
144,POS,灯光不错,
144,POS,位置,好
144,POS,美食不错,
144,POS,品种,多
144,POS,价格,实惠
144,POS,地方,好找
145,NEU,地方一般,
146,POS,美景不错,
147,POS,景点不错,
147,NEU,温度,低
147,POS,灯光不错,
148,POS,瀑布,好看
149,POS,湿度,很好
149,POS,温度,好
149,POS,品种,多
149,POS,灯光不错,
149,POS,灯光,美
149,POS,餐厅,多
149,POS,灯光不错,
150,POS,夜景不错,
151,POS,期望,高
151,NEU,园子,不算大
151,POS,爱好者,喜欢
151,POS,总体不错,
152,POS,景点,多
152,POS,感觉,不错
152,POS,确实,好看
153,POS,地方,大
153,POS,拍照,好看
154,POS,造型不错,
154,POS,价格,适中
155,POS,景点不错,
155,POS,感觉,舒服
156,POS,景色,景色不错
157,POS,设计,独特
157,POS,品种,多
158,POS,宾馆不错,
160,POS,景点不错,
161,POS,色彩,鲜艳
161,POS,设计不错,
161,POS,灯光不错,
162,POS,整体不错,
162,POS,景点不错,
162,POS,景点不错,
163,NEU,游玩,一般
163,POS,世界,大
163,POS,衣服不错,
163,POS,植物,合适
163,POS,色彩不错,
163,POS,照片不错,
164,NEU,面积,小
164,POS,感觉,喜欢
165,POS,色彩不错,
165,POS,景色,美丽
167,POS,环境,好
167,POS,景色,美
169,NEU,面积,小
169,POS,建筑,美
169,POS,感觉,喜欢
170,POS,距离,近
170,POS,设计不错,
170,POS,植被茂盛,
170,POS,地方不错,
171,POS,公园,大
171,POS,公园,美
171,POS,造型不错,
171,POS,感觉,漂亮
172,POS,感觉,赞
173,POS,森林不错,
174,POS,风景不错,
174,POS,美景不错,
175,POS,感觉,舒服
175,POS,空气,清新
175,POS,空气,清新
176,POS,感觉,喜欢
176,POS,表演,精彩
177,POS,世界,大
177,POS,地方不错,
177,POS,感觉,喜欢
177,POS,瀑布,美
177,POS,植物,美
178,POS,环境,好
180,POS,景点不错,
180,POS,植物,美
181,POS,景点不错,
181,POS,植物种类,多
181,POS,种类,多
182,POS,拍照,美
183,POS,感觉,方便
183,POS,景色,壮观
183,POS,位置不错,
183,POS,灯光,美
184,POS,感觉,赞
184,POS,景色,美
185,POS,夜景,美
186,POS,设计不错,
187,POS,灯光不错,
187,POS,设计,独特
188,POS,空气,清新
188,POS,景色,美丽
189,POS,景点,有名
189,POS,感觉,便利
189,POS,森林不错,
189,POS,大自然,神奇
190,POS,景点不错,
191,POS,地方,好
191,POS,麻麻,喜欢
191,POS,灯光不错,
191,POS,整体不错,
192,POS,灯光不错,
193,POS,花园,美
194,POS,灯光不错,
194,POS,灯光不错,
195,POS,道,干净
196,POS,环境,好
196,POS,温度,高
196,POS,环境,好
197,POS,地方,好
197,POS,夜景,好
197,POS,夜景,好
198,POS,地方,繁华
198,POS,夜景,美丽
198,POS,夜生活,丰富
200,POS,酒店,奢华
200,POS,景色,美丽
202,POS,夜景不错,
203,POS,票价便宜,
203,POS,照片不错,
204,POS,景点,著名
204,POS,花园,美
204,POS,孩子,喜欢
204,POS,灯光不错,
205,POS,景观,美
206,POS,确实,好看
206,POS,景色,美
206,POS,地方,好
206,POS,散步,好
206,POS,花园,美
207,POS,总体,好
209,POS,景点不错,
209,POS,植物,美
209,POS,植物,美
209,POS,感觉,值
211,POS,设计,棒
212,NEU,植物,不大
213,POS,感觉,漂亮
215,POS,照片,美
215,POS,衣服,好
215,POS,拍出来,好看
216,NEU,地方一般,
216,POS,拍照,好看
216,POS,灯光不错,
217,POS,感觉,舒服
217,POS,感觉,喜欢
218,POS,照片,好看
219,NEU,天色,暗
219,POS,灯光不错,
219,POS,感觉,惬意
219,POS,环境,好
220,POS,花园,美
220,NEU,面积,不大
220,POS,确实,好看
222,POS,灯光不错,
222,POS,设计,独特
222,POS,设计,好
223,POS,城市,美
223,POS,天气,好
223,POS,感觉,开心
225,POS,感觉,喜欢
226,POS,颜色,鲜艳
226,POS,整体,棒
226,POS,感觉,不错
227,POS,花园,大
227,POS,地方不错,
228,POS,没,还好
229,POS,感觉,棒
229,POS,氛围不错,
230,POS,花园,大
230,POS,景色,美丽
230,POS,门票便宜,
231,POS,建设,好
231,POS,空间,大
231,POS,感觉,喜欢
233,POS,美景不错,
233,POS,灯光不错,
234,POS,整体不错,
234,POS,感觉,开心
239,POS,感觉,方便
240,POS,感觉,漂亮
241,NEU,消费,高
242,POS,景色,美
242,POS,确实,好看
243,POS,人潮,汹涌
244,POS,美景不错,
245,POS,景点不错,
245,POS,仙境,一般
245,POS,花园,美
245,POS,森林不错,
245,POS,景致不错,
247,POS,感觉,值
247,POS,气氛,好
247,POS,风景不错,
247,POS,服务不错,
248,POS,感觉,值
248,POS,气氛,好
248,POS,风景不错,
248,POS,服务不错,
249,POS,造型,奇特
249,NEU,气候,干燥
249,POS,规划,好
250,POS,灯光不错,
250,POS,灯光不错,
250,POS,感觉,漂亮
251,NEU,感觉,冷
252,POS,花园,不错
252,POS,花园,还不错
252,POS,环境,好
252,POS,整体环境,还不错
252,NEU,瀑布,小
253,POS,景点不错,
253,POS,景色,壮观
254,POS,花园,大
254,NEU,地方一般,
254,POS,观景,好
255,POS,气氛,浓厚
256,POS,灯光,美
258,POS,天空,美
259,POS,美景不错,
259,POS,感觉,舒服
259,POS,景色,自然
260,POS,景点不错,
260,POS,地方,地方不错
260,POS,感觉,漂亮
260,POS,景点不错,
261,POS,位置不错,
261,POS,美景不错,
262,POS,感觉,漂亮
262,POS,感觉,喜欢
262,POS,灯光不错,
263,POS,感觉,美好
263,POS,灯光不错,
264,POS,拍照,好看
265,POS,景点不错,
265,POS,绿化不错,
266,POS,运气,好
266,POS,颜色,美
266,POS,朋友,喜欢
266,POS,走廊,不错
266,POS,感觉,赞
267,POS,景色,好看
267,POS,空气,清新
268,POS,花园,美
268,POS,灯光不错,
269,POS,地方不错,
269,POS,夜景不错,
269,POS,地方,近
269,POS,灯光不错,
269,NEU,气温,低
269,POS,仙境,一般
269,POS,置身仙境,一般
270,POS,灯光,好看
270,POS,脖子,酸
271,NEU,灯光一般,
271,NEU,灯光一般,
271,NEU,灯光一般,
272,POS,感觉,方便
272,NEU,衣服,湿
272,POS,地方,地方不错
273,POS,景色,壮观
274,POS,感觉,漂亮
274,POS,服务人员,热情
274,POS,人员,热情
274,POS,态度,好
274,POS,服务,好
276,POS,景点不错,
277,POS,感觉,棒
278,POS,植物,美
278,POS,植物,美
278,POS,瀑布,美
278,POS,孩子,开心
279,POS,花园,美
280,POS,气候不错,
280,POS,感觉,浪漫
280,POS,灯光不错,
280,POS,感觉,不错
281,POS,灯光不错,
281,POS,灯光不错,
285,POS,地方,地方不错
285,POS,公园,美
286,POS,景观不错,
286,POS,世界,大
287,POS,空调,足
287,POS,灯光不错,
287,NEU,景色,一般
288,POS,地方不错,
289,POS,景色,壮观
289,POS,效果,好
289,POS,气息,浓厚
290,POS,表演,精彩
291,NEU,景点一般,
291,POS,景色,美丽
291,POS,景色,美丽
291,POS,景点不错,
293,POS,地方,方便
294,POS,园子不错,
294,POS,灯光不错,
295,POS,设计,好
296,POS,空气,清新
296,POS,行程,紧
297,POS,效果,不错
298,POS,灯光不错,
299,POS,景色,美
299,POS,感觉,惬意
300,NEU,内容,少
301,POS,花园,美
301,POS,微风,舒服
302,POS,整体,好
302,POS,地儿,多
303,POS,温差,大
304,POS,设计不错,
304,POS,感觉,舒服
304,POS,植物种类,多
304,POS,种类,多
304,POS,造型,独特
305,POS,景点,好看
306,POS,日落,美
306,POS,感觉,舒服
307,POS,印象不错,
307,POS,感觉,满意
309,POS,氛围不错,
309,POS,灯光不错,
309,POS,感觉,不错
309,POS,灯光不错,
309,POS,性价比,高
309,NEU,感觉,冷
309,POS,绿化不错,
310,POS,花园,大
310,POS,造型不错,
312,POS,景色,美丽
312,POS,植被,茂盛
312,POS,花园,大
312,POS,风景不错,
312,POS,地理位置,绝佳
312,POS,美食不错,
315,POS,天气,热
315,POS,美景不错,
315,POS,大人,喜欢
316,POS,感觉,漂亮
317,POS,品种,多
317,POS,布局,好
318,POS,景色,壮观
319,POS,感觉,漂亮
319,POS,公园,大
319,POS,感觉,舒服
320,POS,灯光不错,
320,NEU,地方,窄
320,POS,服务,好
320,POS,服务人员,很好
321,POS,地方不错,
321,POS,理念,棒
322,POS,风景不错,
323,POS,门票,还好
323,POS,阳光,明媚
323,POS,空调,足
323,POS,景点不错,
323,POS,交通,方便
323,POS,景色,壮观
323,POS,避暑,好
324,POS,灯光不错,
325,POS,城市,多
325,POS,植物,多
326,POS,景点不错,
326,NEU,电影,一般
326,POS,感觉,不错
326,POS,灯光不错,
327,POS,天空,好看
327,POS,植物,多
328,POS,灯光不错,
328,POS,灯光不错,
329,POS,地方,繁华
329,POS,绿化,好
329,POS,花园,美
331,POS,灯光不错,
331,POS,灯光不错,
331,POS,感觉,浪漫
331,NEU,感觉,脏
331,POS,环境,干净
332,POS,感觉,喜欢
332,POS,感觉,舒服
332,POS,照片不错,
333,POS,整体印象,挺好
333,POS,空气,清新
333,POS,空气湿度,非常好
334,POS,公园,近
334,POS,灯光不错,
334,POS,气氛,好
335,POS,总体,好
335,POS,总体感觉,还不错
335,POS,感觉,漂亮
337,POS,花园,美
337,POS,位置不错,
337,POS,地方不错,
337,POS,地方,近
337,POS,贼,好看
337,POS,确实,好看
337,POS,拍照,好看
337,POS,确实,好看
338,POS,好玩,好玩
338,POS,灯光不错,
339,POS,景点,有名
339,POS,感觉,喜欢
339,POS,天空,蓝
339,POS,空气,清新
339,POS,空气,蛮好
340,POS,灯光,美
341,POS,景点不错,
341,POS,门票,便宜
341,POS,空调,足
341,POS,感觉,喜欢
343,POS,景点不错,
343,POS,景点,集中
343,POS,森林不错,
343,POS,景色,自然
343,POS,灯光不错,
344,POS,世界,大
345,POS,面积,大
345,POS,占地面积,大
345,POS,地方,地方不错
347,POS,感觉,棒
347,POS,夜景,壮观
347,POS,灯光不错,
347,POS,设计不错,
347,POS,感觉,喜欢
348,POS,心,静
348,POS,景色不错,
349,POS,景点不错,
351,POS,夜景不错,
351,POS,温差,大
352,NEU,灯光一般,
353,POS,场馆,大
353,POS,空调,足
354,POS,灯光不错,
355,POS,照片不错,
357,POS,夜景,美
358,POS,景点不错,
358,POS,灯光不错,
358,POS,灯光,好看
358,POS,散步,好
359,POS,游客,少
359,NEU,地方,不大
359,POS,公园,不远
359,POS,感觉,喜欢
360,POS,灯光不错,
360,POS,地方不错,
361,NEU,温度,低
362,POS,植物种类,多
362,POS,种类,多
362,POS,设计,棒
363,POS,景色,美
364,POS,感觉,漂亮
364,POS,感觉,赞
364,POS,光线,好
365,POS,地方,美
365,POS,空气,清新
365,POS,空气,干净
365,POS,感觉,喜欢
366,POS,城市,棒
367,POS,景色,美丽
367,POS,景色,蛮好
367,POS,拍照,美
368,POS,公园,大
369,POS,环境,美
370,POS,公园,美
370,POS,整体,安静
373,NEU,蚊虫,多
374,POS,感觉,方便
374,POS,感觉,赞
374,POS,拍照,不错
374,POS,景色,美
375,POS,空调,足
376,POS,灯光不错,
376,POS,建筑,美
377,POS,夜景,美
378,POS,设计,巧妙
378,POS,植物种类,多
378,POS,种类,多
378,NEU,表演,一般
379,POS,维护,好
380,POS,地方,棒
380,POS,风格,独特
380,POS,灯光不错,
381,POS,酒店,近
381,POS,美景不错,
383,POS,景色,壮观
383,POS,环境不错,
383,POS,灯光不错,
384,POS,世界,美
384,POS,景色,自然
386,POS,植物,多
387,POS,瀑布,高
387,POS,景色,景色不错
387,POS,景点不错,
388,POS,感觉,方便
388,POS,伙伴,喜欢
389,POS,景点不错,
389,POS,景点不错,
389,POS,天气,舒服
389,POS,地方,好
391,POS,确实,好看
391,POS,打车,不好
392,POS,景色,美丽
392,POS,效果,美丽
393,POS,景色,美
394,POS,tree,漂亮
395,POS,风格,独特
395,POS,美景不错,
396,NEU,门票,贵
397,POS,瀑布,好看
399,POS,景点不错,
400,POS,感觉,不错
400,POS,景点不错,
401,POS,花园,大
401,POS,景色,景色不错
401,POS,造型,不错
401,POS,景色,美
402,POS,地方,地方不错
402,POS,街道不错,
403,POS,感觉,舒服
403,POS,感觉,喜欢
404,POS,景色,景色不错
404,POS,地方,好
404,POS,灯光不错,
405,POS,灯光,美
405,POS,灯光不错,
406,POS,景点不错,
406,POS,世界,大
406,POS,植物,茂密
406,POS,花园,大
407,POS,范围,大
407,POS,景色,美
407,POS,温差,大
407,POS,感觉,刺激
409,POS,地方不错,
410,POS,门票便宜,
410,POS,感觉,方便
410,POS,整体感觉,好
411,POS,公园,大
412,NEU,感觉,脏
413,POS,感觉,舒服
413,POS,地方,地方不错
413,POS,瀑布,美
413,POS,感觉,舒服
413,POS,拍照,美
413,POS,地方,地方不错
415,POS,感觉,漂亮
415,POS,感觉,赞
415,POS,感觉,喜欢
416,POS,绿化,美
416,POS,景色,多
416,POS,拍照,好看
417,POS,地方,美丽
417,POS,地方,美丽
418,POS,灯光不错,
419,POS,展馆,大
421,POS,景点不错,
421,POS,瀑布,壮观
421,POS,氛围,好
421,POS,氛围,还不错
422,POS,植被茂盛,
422,NEU,价格,贵
423,POS,景点不错,
423,POS,植物,多
424,NEU,蚊虫,多
424,NEU,照片,一般
425,POS,景点不错,
425,POS,花园,大
425,POS,花园,美
426,POS,花园,大
427,POS,景点不错,
427,NEU,游客,多
427,POS,感觉,喜欢
427,POS,景色,棒
427,POS,感觉,喜欢
427,POS,景点不错,
428,POS,感觉,方便
429,POS,种类,多
429,POS,空气,清新
430,POS,感觉,漂亮
433,POS,花园,大
433,POS,景点,著名
434,POS,地方不错,
434,POS,老人,喜欢
435,POS,环境,美
436,POS,花园,美
436,POS,感觉,喜欢
437,POS,夜景,美
438,POS,植物,美
438,NEU,价格,贵
438,NEU,纪念品一般,
439,POS,感觉,方便
439,POS,灯光不错,
439,POS,交通,方便
440,POS,瀑布,美
440,POS,灯光不错,
440,NEU,时间,不够
441,POS,景点不错,
441,POS,路程,长
442,POS,地方不错,
442,POS,感觉,方便
444,POS,地方,好
446,NEU,灯光一般,
446,POS,植物,美
446,NEU,拍照,一般
447,POS,美景不错,
447,NEU,天色,暗
447,POS,灯光,美
448,POS,建筑,美
448,POS,夜景,美
448,POS,夜景不错,
449,POS,温度,舒适
449,POS,环境不错,
449,POS,景点,棒
449,POS,世界,大
450,POS,灯光不错,
451,POS,环境,环境不错
451,POS,景色,自然
452,POS,环境,好
452,POS,环境,还不错
452,POS,感觉,不错
453,NEU,面积,小
453,POS,夜景,美
455,POS,灯光不错,
455,POS,地方,近
456,POS,绿化,好
456,POS,灯光不错,
456,POS,感觉,不错
457,POS,地方不错,
458,POS,感觉,赞
458,POS,感受,深
459,POS,票,方便
459,POS,灯光不错,
460,NEU,温度,低
460,POS,灯光,美
461,POS,瀑布,高
462,POS,景观不错,
462,POS,景色,壮观
463,POS,植物,美
464,POS,灯光不错,
464,POS,位置,好
464,POS,效果,好
464,NEU,位置,一般
464,POS,感觉,棒
465,POS,樱花不错,
466,POS,门票便宜,
466,POS,拍照,美
466,POS,设施不错,
466,POS,景点,著名
466,POS,real,壮观
466,POS,风景,宜人
466,NEU,温度,低
467,POS,公园,大
468,POS,瀑布,大
469,POS,地方,好
470,POS,景色,美
470,POS,灯光不错,
470,POS,景点不错,
472,POS,风景不错,
473,POS,感觉,喜欢
473,POS,植物,美
474,POS,感觉,喜欢
474,POS,人民,好
474,POS,感觉,方便
474,POS,夜景,美
475,POS,感觉,值
475,POS,煞是,好看
476,POS,景点不错,
476,POS,景色不错,
476,POS,灯光不错,
476,POS,价格,低
476,POS,门票便宜,
476,POS,世界,美
477,POS,确实,好看
479,POS,感觉,漂亮
479,POS,景色,美丽
480,POS,阳光,明媚
481,POS,体力,好
483,POS,灯光不错,
485,POS,建筑,美
486,POS,花园,美
486,POS,环境,干净
487,POS,夜景不错,
487,POS,灯光不错,
487,NEU,面积,小
487,POS,灯光不错,
489,POS,交通,方便
490,POS,感觉,漂亮
490,POS,层,好看
490,POS,感觉,漂亮
491,POS,品种,多
491,POS,地方,地方不错
492,NEU,温度,冷
493,POS,感觉,美好
493,NEU,设计一般,
494,POS,地方,地方不错
494,POS,花园,很好
495,NEU,价格,贵
495,NEU,门票,贵
495,NEU,蚊虫,多
496,POS,园区,大
496,POS,天气,热
496,NEU,走路,累
496,POS,感觉,喜欢
497,POS,风景,挺好
498,POS,节日,快乐
498,POS,景色,自然
499,POS,感觉,舒服
500,POS,颜色,鲜艳
501,POS,感觉,方便
501,NEU,取票,麻烦
501,POS,景点,美
502,POS,森林不错,
502,POS,景致不错,
502,POS,灯光不错,
503,POS,公园,大
503,POS,城市,整洁
504,POS,灯光,美丽
504,POS,地方,地方不错
507,POS,灯光不错,
507,POS,灯光不错,
510,POS,夜景,美
511,POS,地方,繁华
513,POS,感觉,喜欢
513,NEU,温度,冷
513,POS,景色,美丽
513,POS,照片不错,
514,POS,空气,清新
515,POS,植物,美
515,POS,植物,好看
515,POS,温差,大
516,POS,感觉,方便
516,POS,环境,清新
516,POS,空调,足
518,POS,景点不错,
520,POS,印象不错,
520,POS,植物种类,多
520,POS,地方不错,
521,POS,景色不错,
522,POS,地方不错,
522,POS,门票,便宜
523,POS,植被茂盛,
523,POS,感觉,喜欢
524,POS,设计不错,
524,POS,拍照,好看
526,POS,景色,美丽
526,POS,景色,美丽
526,POS,感觉,浪漫
526,POS,宛如仙境,一般
526,POS,仙境,一般
527,NEU,气候,干燥
527,POS,海拔,高
527,POS,气候,潮湿
527,POS,灯光不错,
527,POS,灯光不错,
529,POS,景点,大
529,NEU,天气,炎热
529,POS,灯光不错,
530,POS,环境,干净
530,POS,地方不错,
531,POS,景色,美
531,POS,地方,地方不错
532,POS,花园,大
532,POS,景色,自然
532,POS,感觉,喜欢
532,POS,景色,美
533,POS,景色,美丽
534,POS,感觉,漂亮
534,NEU,时间,不够
534,POS,灯光,好
535,POS,灯光不错,
537,POS,感觉,舒服
539,POS,景点不错,
539,POS,年轻人,喜欢
539,POS,感觉,方便
540,POS,景色,壮观
540,POS,表演,棒
540,POS,拍照,好
540,POS,大瀑布,壮观
541,NEU,总体一般,
547,POS,夜景,棒
548,POS,地方,繁华
548,POS,景点不错,
549,POS,景色,棒
550,POS,景色,美
551,POS,景色,美丽
552,POS,感觉,喜欢
552,POS,可玩性,高
552,POS,样样,齐全
553,POS,感觉,刺激
553,NEU,看点,不大
553,POS,确实,好看
554,POS,公园,不远
554,POS,公园,好看
554,POS,价格,合理
555,POS,感觉,方便
556,POS,空气,清新
556,POS,公园,干净
556,NEU,游客,多
556,NEU,价格,高
556,NEU,价格,贵
557,POS,大瀑布,棒
558,POS,绿化不错,
558,POS,森林不错,
558,POS,门票便宜,
559,POS,天气,好
559,POS,天气,热
560,POS,感觉,喜欢
560,POS,温度,舒服
560,NEU,温度,低
561,POS,环境,美
561,POS,景点,美
561,POS,地方,难得
561,POS,夜景,美
562,NEU,面积,小
562,POS,热带植物,多
563,POS,地方不错,
563,POS,照片不错,
564,POS,气候不错,
564,NEU,气候,干燥
565,POS,感觉,方便
565,POS,车,多
565,NEU,天色,暗
566,POS,脖子,酸
567,POS,感觉,喜欢
568,POS,森林不错,
568,POS,森林不错,
569,POS,秩序,好
571,POS,感觉,方便
571,POS,花园,大
571,POS,地方,地方不错
571,POS,景色,壮观
572,POS,感觉,赞
572,POS,味道,柔软
572,POS,设计,棒
572,POS,照片不错,
573,POS,瀑布,大
573,POS,门票,便宜
574,POS,地方,美
574,POS,瀑布,赞
574,POS,风格,好
574,POS,夜景不错,
575,POS,花园,赞
575,POS,景点不错,
575,POS,灯光不错,
576,POS,感觉,舒服
578,POS,确实,有名
578,POS,灯光不错,
578,POS,感觉,棒
579,POS,景色,美
580,POS,价格,还可以
580,NEU,温差,大
580,POS,景观不错,
581,POS,设计,棒
581,POS,雕塑不错,
581,POS,价格,便宜
582,POS,灯光,美
582,POS,感觉,赞
582,POS,感觉,美好
585,POS,地方,地方不错
586,POS,景色,美
586,POS,植物,多
587,POS,花园,不错
587,POS,景点不错,
587,POS,环境,干净
590,POS,环境,清新
590,POS,夜景不错,
590,POS,花园,大
591,POS,色彩不错,
592,NEU,温度,低
592,POS,确实,好看
592,POS,相机,好
592,POS,灯光不错,
593,POS,感觉,不错
593,POS,感觉,不错
594,POS,感觉,不错
595,POS,确实,好看
595,POS,灯光不错,
595,POS,地方不错,
596,POS,灯光,好
596,POS,景色,美丽
597,POS,感觉,赞
597,POS,拍照,好
600,POS,灯光不错,
601,POS,地方,美
605,POS,灯光不错,
606,POS,好玩,好玩
606,POS,景色,壮观
607,POS,视野,好
608,POS,螃蟹,大
611,POS,夜景,美
611,POS,夜景,繁华
611,POS,灯光,美
611,POS,海风,舒服
612,POS,感觉,漂亮
612,POS,樱花不错,
612,POS,感觉,赞
613,POS,植物,好看
