,address,block,coordinates,cuisine_type,dining_category,feature,index,meal,name,phonenumber,price,rating,rating_atmosphere,rating_food,rating_service,rating_value,review_number,special_diets
0,"35A Boat Quay Boat Quay, Singapore 049824 Singapore",Central Area/City Area,"1.286291,103.84969",,"[u'$$ - $$$, Italian, Bar, Pizza']",,19,,DePizza,tel:+65 6588 1359,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,432 reviews,
0,"200 South Bridge Road, Singapore 058749 Singapore",Outram,"1.283431,103.84614","Cafe, Fusion, International, Deli, Healthy","[u'$$ - $$$, Cafe, Fusion, International']",,20,"Breakfast, Lunch, Brunch, Dinner, Drinks",Grids & Circles,tel:+65 6935 3546,S$3 - S$22,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,104 reviews,
0,"438 Serangoon Road Opposite Sri Srinivasa Perumal Temple, Singapore 218133 Singapore",Lavender,"1.313126,103.85646","Indian, Healthy","[u'$$ - $$$, Indian, Healthy, Vegetarian Friendly']",,21,,MTR Singapore,tel:+65 6296 5800,S$4 - S$14,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,"1,579 reviews","Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"165 Tanjong Pagar Road #01-00 Amara Singapore, Singapore 088539 Singapore",Outram,"1.275679,103.84353","French, Steakhouse, Bar, European, Grill","[u'$$ - $$$, French, Steakhouse, Bar']","Takeout, Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service",22,"Lunch, Dinner, After-hours",Bar-Roque Grill,tel:+65 6444 9672,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,403 reviews,"Vegetarian Friendly, Gluten Free Options"
0,"76 Bras Basah Road Carlton Hotel Lobby floor, Carlton Hotel, Singapore 189558 Singapore",Central Area/City Area,"1.295239,103.85312","Japanese, Sushi, Asian","[u'$$$$, Japanese, Sushi, Asian']","Reservations, Private Dining, Seating, Parking Available, Valet Parking, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",23,"Lunch, Dinner, After-hours",Shinji by Kanesaka,tel:+65 6338 6131,S$83 - S$499,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_50,ui_bubble_rating bubble_40,367 reviews,
0,"1 The Knolls Capella Hotel, Singapore 098297 Singapore",Sentosa Island,"1.249665,103.82463","Chinese, Asian, Singaporean","[u'$$$$, Chinese, Asian, Singaporean']",,24,,Cassia Restaurant,tel:+65 6591 5045,S$83 - S$277,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,228 reviews,"Vegetarian Friendly, Gluten Free Options"
0,"181 Orchard Road Orchard Central #12-01 Orchard Central, Singapore 238896 Singapore",Somerset,"1.300344,103.839264",Asian,"[u'$$$$, Asian, Vegetarian Friendly, Vegan Options']",,25,"Lunch, Dinner",Joie by Dozo,tel:+65 6838 6966,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,242 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore",Central Area/City Area,"1.294528,103.85603",,"[u'$$$$, Japanese, American, International']",,26,,Akira Back,tel:+65 6818 1914,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,300 reviews,
0,"9 Temasek Boulevard Suntec Tower Two #01-512/513, Suntec Tower 2, Singapore 038989 Singapore",Marina Centre,"1.295072,103.85889","Japanese, Asian, Soups","[u'$$ - $$$, Japanese, Asian, Soups']","Reservations, Seating, Serves Alcohol, Table Service",27,"Lunch, Dinner",Ramen Nagi,tel:+65 9144 7482,,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,190 reviews,
0,"3 Duxton Hill, Singapore 089589 Singapore",Outram,"1.279212,103.84312",,"[u'$$$$, French, European, Vegetarian Friendly']",,28,,Rhubarb,tel:+65 8127 5001,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,394 reviews,
0,"6 Raffles Boulevard Level 5 Marina Square, Singapore 039594 Singapore",Marina Centre,"1.291638,103.85734","Chinese, Asian, Singaporean","[u'$$$$, Chinese, Asian, Singaporean']",,29,,Peach Blossoms (Marina Mandarin),tel:+65 6845 1118,S$28 - S$83,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,522 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"3 Seng Poh Road Green World, Singapore 168891 Singapore",Bukit Merah,"1.285612,103.83408",,"[u'$$ - $$$, Mediterranean, Greek, Vegetarian Friendly']",,30,,BAKALAKI Greek Taverna,tel:+65 6836 3688,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,663 reviews,
0,"1 Scotts Road #01-16 Shaw Centre, Singapore 228208 Singapore",Boulevard,"1.306709,103.83146",,"[u'$$$$, French, Gluten Free Options']",,31,,Les Amis,tel:+65 6733 2225,,4.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,432 reviews,
0,"3 Temasek Boulevard Suntec City Mall #01-455 North Wing, Suntec City, Singapore 038983 Singapore",Marina Centre,"1.29506,103.858345","American, Mediterranean, Thai, Vietnamese","[u'$$ - $$$, American, Mediterranean, Thai']",,32,,Pasarbella Suntec,tel:+65 6887 0077,S$17 - S$229,3.5,,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,49 reviews,Vegetarian Friendly
0,"320 Orchard Road Singapore Marriott Tang Plaza Hotel Singapore Marriott Tang Plaza Hotel, Singapore 238865 Singapore",Boulevard,"1.304544,103.832596",,"[u'$$ - $$$, Bar, European, Vegetarian Friendly']",,33,,Pool Grill,tel:+65 6831 4605,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,421 reviews,
0,"30 Victoria Street Chijmes #01-26/27, Chijmes, Singapore 187996 Singapore",City Hall,"1.295443,103.85186",,"[u'$$$$, French, Japanese, Fusion']",,34,,Whitegrass,tel:+65 6837 0402,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,229 reviews,
0,"1 St. Andrew's Road #01-04 National Gallery Singapore National Gallery Singapore, Singapore 178957 Singapore",Marina Bay,"1.289683,103.85165",,"[u'$$$$, French, European, Vegetarian Friendly']",,35,,Odette,tel:+65 6385 0498,,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,370 reviews,
0,"270 Orchard Road Grand Park Orchard Level 4 Grand Park Orchard, Singapore 238857 Singapore",Somerset,"1.302986,103.83642","Chinese, Asian, Singaporean","[u'$$$$, Chinese, Asian, Singaporean']",,36,"Breakfast, Lunch, Dinner, Brunch",Mitzo,tel:+65 6603 8882,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,864 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"1 Bayfront Avenue Marina Bay Sands SkyPark at Marina Bay Sands Tower 3, Singapore 018971 Singapore",Marina Bay,"1.284874,103.86106",,"[u'$$$$, Asian, Fusion, Vegetarian Friendly']",,37,,CE LA VI Restaurant,tel:+65 6508 2188,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,"6,616 reviews",
0,"1 Cuscaden Road The Regent Singapore The Regent Singapore, Level 2, Singapore 249715 Singapore",Central Area/City Area,"1.304671,103.82485",,"[u'$$$$, American, Bar']",,38,,Manhattan,tel:+65 6725 3377,,4.5,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,299 reviews,
0,"112 Middle Road Midland House #01-00B Midland House, Singapore 188970 Singapore",Central Area/City Area,"1.298968,103.85375","Japanese, Seafood, Sushi, Asian","[u'$$ - $$$, Japanese, Seafood, Sushi']",,39,"Lunch, Dinner, Brunch, Drinks",En Sushi,tel:+65 6259 8548,S$6 - S$50,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,183 reviews,
0,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore",Museum,"1.2968,103.848976",European,"[u'$$$$, European, Vegetarian Friendly, Gluten Free Options']",,40,"Lunch, Dinner, Brunch, After-hours",Flutes,tel:+65 6338 8770,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,511 reviews,"Vegetarian Friendly, Gluten Free Options, Vegan Options"
0,"122 Race Course Road, #01-01, Singapore 218583 Singapore",Little India,"1.309703,103.85193","Indian, Asian","[u'$$ - $$$, Indian, Asian, Vegetarian Friendly']",,41,,Gayatri Restaurant,tel:+65 6291 1011,S$4 - S$42,4.5,ui_bubble_rating bubble_30,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,347 reviews,"Vegetarian Friendly, Vegan Options, Halal"
0,"180 Albert Street Village Hotel Albert Court #01-19D Albert Court, Singapore 189971 Singapore",Central Area/City Area,"1.304151,103.850815","Cafe, Asian, Singaporean","[u'$$ - $$$, Cafe, Asian, Singaporean']",,42,"Lunch, Dinner, After-hours",Leo Cafe & Restaurant,tel:+65 6338 2448,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,388 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"2 Stamford Road Level 70, Swissotel The Stamford, Singapore 178882 Singapore",Marina Bay,"1.293087,103.85365",,"[u'$$$$, British, Contemporary, Vegetarian Friendly']",,43,,JAAN by Kirk Westaway,tel:+65 6837 3322,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,712 reviews,
0,"38 Craig Road, Singapore 089676 Singapore",Outram,"1.278317,103.841866","French, European, Wine Bar","[u'$$$$, French, European, Wine Bar']",,44,,Ma Cuisine,tel:+65 6224 1838,S$25 - S$552,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,103 reviews,Gluten Free Options
0,"320 Orchard Road Singapore Marriott Tang Plaza Hotel Singapore Marriott Tang Plaza Hotel, Singapore 238865 Singapore",Boulevard,"1.305278,103.83201",,"[u'$$ - $$$, Cafe, Vegetarian Friendly, Vegan Options']",,45,,Crossroads Cafe,tel:+65 6831 4605,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_35,969 reviews,
0,"21 Boon Tat Street, Singapore 069620 Singapore",Outram,"1.281237,103.84848",Australian,"[u'$$ - $$$, Australian, Vegetarian Friendly, Vegan Options']","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",46,"Lunch, Dinner",Cheek by Jowl,tel:+65 6221 1911,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,288 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"5 Fraser Street Andaz Singapore, Singapore 189354 Singapore",Central Area/City Area,"1.299167,103.85767",Steakhouse,"[u'$$$$, Steakhouse, Gluten Free Options']",,47,,665°F,tel:+65 6408 1255,S$40 - S$200,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,123 reviews,Gluten Free Options
0,"1 Keong Saik Road, Singapore 089109 Singapore",Outram,"1.279367,103.84151",,"[u'$$$$, European, Asian, Fusion']",,48,,Meta Restaurant,tel:+65 6513 0898,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,294 reviews,
0,"1 Cluny Road, Ginger Garden, (enter via Tyersall Avenue) Singapore Botanic Gardens, Singapore 259569 Singapore",Tanglin,"1.311375,103.815025",,"[u'$$ - $$$, European, Asian, Singaporean']",,49,,The Halia at Singapore Botanic Gardens,tel:+65 8444 1148,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,"1,868 reviews",
0,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore",Central Area/City Area,"1.286365,103.85308",,"[u'$$$$, Italian, European, Vegetarian Friendly']",,50,,The Lighthouse Restaurant & Rooftop Bar,tel:+65 6877 8911,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_35,589 reviews,
0,"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880 Singapore",Novena,"1.304745,103.8306",,"[u'$$ - $$$, Lebanese, Mediterranean, Turkish']",,51,,Pistachio Middle Eastern & Mediterranean Grill,tel:+65 6262 6400,,4.5,,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,399 reviews,
0,"33 Scotts Road Newton, Singapore 228226 Singapore",Central Area/City Area,"1.310979,103.83522","Indian, Asian","[u'$$$$, Indian, Asian, Vegetarian Friendly']",,52,,The Song of India,tel:+65 6836 0055,S$55 - S$69,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,"1,227 reviews","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
0,"52 Boat Quay Level 5/6, Singapore 049841 Singapore",Central Area/City Area,"1.287089,103.84937","Italian, European","[u'$$$$, Italian, European, Vegetarian Friendly']",,53,,Braci,tel:+65 6866 1933,S$111 - S$166,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,163 reviews,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
0,"10 Bay Front Avenue Marina Bay Resort, Sands SkyPark, Tower 2 Level 57 Access from Hotel Lobby Tower 2, Singapore 018956 Singapore",Marina Bay,"1.283374,103.8606",,"[u'$$$$, American, European, Asian']",,54,,Spago Dining Room by Wolfgang Puck,tel:+65 6688 9955,,4.5,,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,875 reviews,
0,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore",Marina Centre,"1.290311,103.85877",,"[u'$$$$, Italian, European, Vegetarian Friendly']",,55,,Dolce Vita,tel:+65 6885 3500,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,538 reviews,
0,"333A Orchard Road Mandarin Gallery #04-01/31 Mandarin Gallery, Singapore 238897 Singapore",Somerset,"1.301858,103.83701","American, Steakhouse","[u'$$$$, American, Steakhouse, Gluten Free Options']",,56,,Lawry's The Prime Rib,tel:+65 6836 3333,S$83 - S$139,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,981 reviews,Gluten Free Options
0,"5 Fraser Street Andaz Singapore Level 39, Andaz, Singapore 189354 Singapore",Central Area/City Area,"1.299086,103.85782",Bar,"[u'$$ - $$$, Bar']",,57,"After-hours, Drinks",Mr Stork,tel:+65 6408 1234,S$12 - S$200,4.5,,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,168 reviews,
0,"1 Nanson Road Intercontinental Singapore Robertson Quay InterContinental Singapore Robertson Quay, Singapore 238909 Singapore",Robertson Quay,"1.289707,103.83844",,"[u'$$ - $$$, Italian, Pizza, European']",,58,,Publico Ristorante,tel:+65 6826 5040,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,319 reviews,
0,"31 Cuppage Road Cuppage Terrace Cuppage Rd, Singapore 229457 Singapore",Somerset,"1.302087,103.84045",,"[u'$$ - $$$, Indian, Asian, Vegetarian Friendly']",,59,,The Curry Culture,tel:+65 6235 6133,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,"1,036 reviews",
0,"29 Tanglin Road St. Regis Hotel Singapore The St. Regis Singapore level 1U, Singapore 247911 Singapore",Central Area/City Area,"1.305474,103.826164",,"[u'$$$$, Chinese, Asian, Singaporean']",,60,,Yan Ting,tel:+65 6506 6887,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,502 reviews,
0,"43, Cuff Road, Singapore 209753 Singapore",Central Area/City Area,"1.306928,103.853455","Indian, Asian","[u'$, Indian, Asian, Vegetarian Friendly']",,61,"Lunch, Dinner",Greenleaf Cafe,tel:+65 9783 7476,,5.0,,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,77 reviews,"Vegetarian Friendly, Vegan Options"
0,"09 Bras Basah Road Rendezvous Hotel Singapore Hotel RendezVous - #02-02A, Singapore 189559 Singapore",Central Area/City Area,"1.298588,103.84897",,[u'$$ - $$$'],"Reservations, Seating, Serves Alcohol, Full Bar, Wheelchair Accessible",62,"After-hours, Drinks",The Auld Alliance,tel:+65 6337 2201,,5.0,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,ui_bubble_rating bubble_45,111 reviews,
0,"30 Stevens Road #01-09, Singapore 257840 Singapore",Tanglin,"1.31385,103.82887","Cafe, Mediterranean, Wine Bar","[u'$$ - $$$, Cafe, Mediterranean, Wine Bar']","Reservations, Seating, Serves Alcohol, Table Service, Delivery, Takeout, Outdoor Seating, Parking Available, Validated Parking, Free Off-Street Parking, Highchairs Available, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards",63,"Lunch, Dinner, Drinks",Winestone,tel:+65 6491 6100,,4.0,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,60 reviews,
0,"38 Tanjong Pagar Rd, Singapore 088461 Singapore",Outram,"1.279437,103.84386","International, European","[u'$$$$, International, European, Vegetarian Friendly']","Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",64,"Lunch, Dinner, After-hours",Tippling Club,tel:+65 6475 2217,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,505 reviews,"Vegetarian Friendly, Gluten Free Options"
0,"30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore",Central Area/City Area,"1.294613,103.85576",,"[u'$$ - $$$, Seafood, International, Grill']",,65,,Beach Road Kitchen,tel:+65 6818 1913,,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,588 reviews,
0,"1 Beach Road Raffles Hotel Raffles Hotel Singapore, Singapore 189673 Singapore",Central Area/City Area,"1.294883,103.854034","French, International","[u'$$$$, French, International']",,66,"Brunch, Dinner, After-hours",Raffles Grill,tel:+65 6412 1816,S$35 - S$208,4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,311 reviews,
0,"64 Tras Street #01-01, Singapore 079003 Singapore",Outram,"1.277706,103.84431","French, European","[u'$$$$, French, European']","Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service",67,"Lunch, Dinner",Fleur De Sel Le Restaurant,tel:+65 6222 6861,,4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,211 reviews,
