REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,76,https://www.tripadvisor.com.sg/Profile/nellielim,444123766,14-12-2016,3,Historical site,"This temple dedicated to Kuan Yin or Avalokitesvara is one of the oldest Buddhist temples in Singapore. Built in 1884, and rebuilt in 1982, it has been declared a Historical site. Popular among Buddhist practitioners, worshipers are known to receive good luck after praying here. A busy temple, it is a worth a visit.",12-2016,Family,2020-01-31 17:04:20.895293
,1,76,https://www.tripadvisor.com.sg/Profile/denthygienestudent,405937781,16-08-2016,5,Feel the faith of the faithful and be inspired,"Came upon this temple while strolling in the Bugis area. Just the sight of all the beautiful flowers -- esp. LOTUS FLOWER is enough to be inspired to participate in the lighting of joss sticks and prayer and thought. LOVED THE EXPERIENCE ! FELT INSPIRED BY WHO-KNOWS-WHAT, but I really felt something.",07-2016,Family,2020-01-31 17:04:21.271138
,1,76,https://www.tripadvisor.com.sg/Profile/hendryth,388584865,03-07-2016,5,place for worship 🛐,"one of the famous place for worship (buddhist) in Singapore. located just behind bugis junction. this temple is always crowded. there's huge Kwan Yin statue inside the hall. you can have free joss stick just in front of the entrance.

three joss sticks. pray for luck. health. and wisdom",07-2016,Family,2020-01-31 17:04:21.635818
,1,76,https://www.tripadvisor.com.sg/Profile/helloterii,372448559,13-05-2016,5,A different view of Singapore,"This Goddess of Mercy Temple is a spot for people to come and pay respects towards Guan Yin Niang Niang/娘娘, the Mandarin way of pronouncing ""Goddess of Mercy"".

Before the steps in the temple, there is a huge incense area will be in the middle for people to put into after paying respects towards the Gods, Sky and the Earth. Incense sticks and fire are provided by the temple. PS: I also took this picture before noticing the ""no pictures allowed"" sign / before my mom yelled at me... so yeah. Oops.

No pictures allowed inside is to respect the environment. Usually places of worship don't allow photos (but I got carried away and forgot..) and this place isn't an exception.
There is a carpet in the middle of the temple, which allows individuals to pray and ask for advice - do take off your shoes and leave them on the side before stepping onto the carpet.

You can do divination here - with a tin of sticks. You talk to Guan Yin 娘娘 and ask for advice, you shake the tin, having one divination stick come out and you get the fortune of that stick from the person at the counter. The fortune paper comes in both Chinese and English. You should also burn the fortune before you leave the temple. There are other methods for asking for advice here -- You have to go to the counter on the left or right side to attain these materials and give it back after.

There are also seats and fans near the entrance of the temple. Donations are welcomed and have several spots around the temple as well. There are also security guards here to maintain the peace within the temple as it is an open area. When I went, there was a crazy lady in there shouting random stuff and walking all over the carpet with her shoes on and off (really rude, but hey, she's crazy..) and the security guards guided her out...

Guan Yin Niang Niang's temple connects to the roots of Buddhism, and is a nice place to dive into and find inner peace away from the buzzing streets of Singapore. A very cultural spot to see when you're visiting Singapore.
Those stands with umbrellas sell items that you can gift towards Goddess of Mercy and the temple. Items like more incense sticks and lotus flowers are being sold. You can ask for ""good luck charm(s)"" in the temple which have been blessed by the Goddess of Mercy, for you to carry on yourself and keep you away from harm:)

Before you leave, don't forget to pick up sweets/candy at the very front of the temple! It's meant to be a blessing from the temple as well. Bonus points because the sweet is actually super yummy - I always go for the orange flavour, haha",03-2016,Family,2020-01-31 17:04:22.021992
,1,76,https://www.tripadvisor.com.sg/Profile/jingga18,355394189,15-03-2016,4,Very Crowded but Fascinating,"This temple is always crowded. A beautiful Chinese temple, shrine for Goddess of Mercy Guan Yin. Despite the crowd, it's surprisingly clean and well kept.

Must visit when in Singapore.

Tip:
1. Go early. It gets busier by the hour.
2. Make sure it's not a special day on the Buddhist calendar, because there will be three times the number of worshippers.
3. Keep your belongings with you at all times.",03-2016,Family,2020-01-31 17:04:22.406014
,1,76,https://www.tripadvisor.com.sg/Profile/HIMSHERO,338077761,07-01-2016,5,Truly representative of Singapore Chinese,"To know what the Chinese practices are, this is the place to come. You may come to have a simple prayer.",01-2016,Family,2020-01-31 17:04:22.731922
,1,76,https://www.tripadvisor.com.sg/Profile/pakabay,650469220,06-02-2019,4,Chinese New Year,"We were headed to the Hindu temple next door when we stumbled upon a significant event with hundreds upon hundred of people in a procession, all carrying incense sticks above their heads and entering this temple.

It was an unexpected but amazing sight. There were other offerings being made and related stalls set-up along the roadway with literature, bookmarks, calendars etc all being given away.

There was a fantastic spirit and, despite obviously being outsiders, we were welcomed and thanked for being part of it.

It was one if those experiences that you don’t plan, that just happen and it was great.",02-2019,Couples,2020-01-31 17:04:46.109033
,1,76,https://www.tripadvisor.com.sg/Profile/shuyim1,583496675,29-05-2018,5,Where wishes are believed to be granted!,"It’s one of the oldest and most revered temple in Singapore!
It’s a small temple but it’s very well patronised and believed by its devotees to grant wishes and also seek for divine advice.
The area around the temple is interesting to walk around and enjoy the atmosphere of old Singapore. There is a good hawker centre nearby that serves a wide range of delicious local food.",05-2018,Couples,2020-01-31 17:04:46.496848
,1,76,https://www.tripadvisor.com.sg/Profile/Orchid4841,539134567,07-11-2017,4,Intersting to visit ...,"Regardless of whether you have a faith, or what faith you might follow, this is an interesting place to visit. It has a constant stream of devotees taking time out of their day, to offer prayers and refocus.",10-2017,Couples,2020-01-31 17:04:46.847576
,1,76,https://www.tripadvisor.com.sg/Profile/sakisgreece,501524582,13-07-2017,5,Amazing temple,"This is a buddhist temple at the heart of bugis neigboorhood. It is very beautiful. Photos and videos is forbidden inside the temple but you can do it secret. It is a must visit. Watch how locals pray. Dont trust the prophets outside this temple that suppose to tell you the future by reading your birthday or palm,it is a scam.",07-2017,Couples,2020-01-31 17:04:47.224101
,1,76,https://www.tripadvisor.com.sg/Profile/Jimmy N,410384103,25-08-2016,5,A historic temple with loyal followers,"Please dress appropriately when visiting. Hot pants/shorts and beach wears are not suitable. Otherwise, it is a good place to see how the locals make their offerings",08-2016,Couples,2020-01-31 17:04:47.596643
,1,76,https://www.tripadvisor.com.sg/Profile/0_Gyrfalcon_0,347380169,13-02-2016,4,Beautiful Chinese Temple,We stopped by this place today. There was a lot of peoples came to pay a visit and making a wishes. Outside you could buy Lotus flower to serve the gods.,02-2016,Couples,2020-01-31 17:04:47.962995
,1,76,https://www.tripadvisor.com.sg/Profile/CandaceT145,722498183,30-10-2019,5,Heritage temple and great for prayers,"This temple is visited by local and tourists and always crowded. It is good to give thank for the good things that happened/ going to happen in our life and pray for good health, career and children etc.
There are vendors outside the temple selling flowers, joss sticks for offerings. Some people will also meditate/ Chant prayed in this temple.
Highly recommended but the tourists need to be respectful of the people praying there.",10-2019,Solo,2020-01-31 17:05:12.690686
,1,76,https://www.tripadvisor.com.sg/Profile/DrTChongSG,683559040,23-06-2019,4,"Not just an ordinary temple, in Singapore","Kwan imm thong hood cho temple is an extraordinary temple. I say this because I found out it does a considerable amount of philanthropic works for the community. A sight to behold from the balcony of a nearby hotel room, at night.",06-2019,Solo,2020-01-31 17:05:13.054706
,1,76,https://www.tripadvisor.com.sg/Profile/155juliust,675377162,21-05-2019,5,God of mercy...Amitabath...,"Great temple. I was there during wesak day and it was so crowded until the security tea m and police has the block the walkway to the temple.

Crowd would have to wait going in batch by batch. Sporean believe the god of mercy gives blessing to devotee' s. Do not miss the chance",05-2019,Solo,2020-01-31 17:05:13.398869
,1,76,https://www.tripadvisor.com.sg/Profile/Vivian K,674320285,16-05-2019,5,Great for Prayers,This temple is great. Suitable for any types of travellers. Get to know the culture. The building architecture is beautiful.,05-2019,Solo,2020-01-31 17:05:13.680969
,1,76,https://www.tripadvisor.com.sg/Profile/Mornings6,628841884,27-10-2018,3,Good luck temple.,"It is considered good luck to visit this temple by the Buddhist Chinese of Singapore. You can light incense, offer a fruit basket to the Deity for a price etc, but someone told there is a free fortune telling in this temple, but could not find any such thing there. It was crowded.",10-2018,Solo,2020-01-31 17:05:14.067795
,1,76,https://www.tripadvisor.com.sg/Profile/Lance O,618097507,20-09-2018,5,The Temple for Love & Success Issues,This is the Temple I often send people to for Love Karma Healing and for the dispell of hexes affecting one’s Success in life. I also personally pray here and Goddess Kuan Yin and the Buddhas are very astute at improving one’s life situation. There are many visitors and the Temple is reputed to have a direct connection with Chinese Imperial Heaven. Anyone who visits will be Greatly Blessed.,09-2018,Solo,2020-01-31 17:05:14.448434
,1,76,https://www.tripadvisor.com.sg/Profile/kokmingg,592035687,01-07-2018,5,Must visit if you pray to guan yin,"It is a nice place. Clean, good ambience. Prayer friendly, red carpet for you to kneel and pray. If you wish to make a lotting, direct to check the meaning in books and the uncle. They are friendly. No worries to get cheated, everything is free. Josstick, lotting, candies, flower petals.",06-2018,Solo,2020-01-31 17:05:14.779169
,1,76,https://www.tripadvisor.com.sg/Profile/Flitz8,572642212,11-04-2018,3,Busy active temple,"Came here during week and interesting to see devotees offering joss sticks and praying,busy place in general",04-2018,Solo,2020-01-31 17:05:15.144154
,1,76,https://www.tripadvisor.com.sg/Profile/pianocello,559134198,08-02-2018,3,Crowded,"While not one of the most beautiful temples in Singapore, it is reasonably attractive in many parts. It is not a temple you would visit to have a religiously meditative and contemplative experience as it is frequently too crowded and hence not a temple I would go out of my way to visit. If you are non-Chinese and you are curious to see people pray in a Chinese temple, that you might be interested just to look around. Especially with the religious pragmatism on display as worshippers here will occasionally proceed to the Hindu temple next door to continue praying.",03-2017,Solo,2020-01-31 17:05:15.519659
,1,76,https://www.tripadvisor.com.sg/Profile/Pinheadplanet,556872374,28-01-2018,4,Busy busy busy,Throbbing with people celebrating the Chinese new year even though it's not for another 2 or 3 weeks. Lots of interesting shops around where you'll get a better level of tourist purchases.,01-2018,Solo,2020-01-31 17:05:15.895543
,1,76,https://www.tripadvisor.com.sg/Profile/LimCT168,538022161,03-11-2017,5,"Must visit Temple at Waterloo St, Bugis or Rochor area","If you are in the vicinity of Waterloo Street, Bugis or Rochor area, do visit the famous Kwan Im Thong Hood Cho Temple. Entrance is free and it is opened daily from 6.00am to 6.00pm.

At the main central altar, Shakyamuni Buddha is seated behind Goddess Kuan Yin. They are flanked by Bodhidharma (chief of 6 Buddhists Patriach) and Hua Tuo (Chinese patron saint of medicine and healing).

Thousands of devotees turns up every day to seek blessings from Goddess Kuan Yin.

You need not buy joss sticks as devotees donate and place them in the big metal box located at each side of the entrance.

Offer 3 joss sticks as you seek blessings and place the 3 joss sticks into the big urn before you enter the prayer hall.

Note: Do not bring joss sticks into the prayer hall. Also, no photo taking is allowed inside the prayer hall. Do dress appropriately too.

If you intend to kneel and offer prayers on the red carpet, please remember to remove your footwear.

Donation is voluntary and one box each is placed on the left and right side of the altar. I understand that donations collected have been used to set up Kidney Dialysis Centre, help the underprivileged and provide bursary/scholarships to students from disadvantaged background.

After your prayers, you can collect and eat the free sweets (if available) and collect a small packet of flowers for good luck. Some devotees place the flowers in water and then bathe using the water with flowers to signify and to obtain a ‘shower of blessings’.

Many devotees come here to seek divination and guidance daily as the temple is well known for its highly accurate divination. You can refer to the divination book that will explain the divination that you have obtaining and the explanation is available in both English and Chinese languages.

If you are around Waterloo Street, Bugis or Rochor area, this is one temple that you should try to visit and one place where you can observe the locals and enjoy the Singapore atmosphere.

After your visit to the temple, you can pop by the adjacent Albert Centre Market and Food Center for some cheap and tasty local desserts and food (mainly Chinese stalls and a few Indian/Malay food stalls) on the ground floor. There are many shops selling very reasonably priced ‘dried food’ for cooking and ‘Chinese herbs’ on the 2nd floor of Albert Centre Market and take the lift (recommended) or staircase to get up there.",11-2017,Solo,2020-01-31 17:05:21.886174
,1,76,https://www.tripadvisor.com.sg/Profile/ucav37,521626696,06-09-2017,4,"A place of worship, heritage, chinese buddhist art and culture","This temple of one of many famous and popular temple local visit. It was build with Chinese craftmen and the shrine and statues are of traditional Chinese buddhism artform. Apart from this, visitors can go to the counter and get the bamboo oracle, and get a fortune, or some query in mind answered by shaking the bamboo oracle and get an interpretation from the number on the stick.",08-2017,Solo,2020-01-31 17:05:22.284881
,1,76,https://www.tripadvisor.com.sg/Profile/318ryant,508390097,03-08-2017,5,Divine god,"Always feel good after prayers at the temple. Whenever I have problems or difficult situations, getting a divination here gives me a sense of peace or direction",07-2017,Solo,2020-01-31 17:05:22.622699
,1,76,https://www.tripadvisor.com.sg/Profile/Flybug_2012,485642243,19-05-2017,4,Famous Temple,It's always crowd. Don't think they allow people to take photos when inside. Most prayers are chinese who come to pray for peace. Many souvenir shops and stalls around that area that you can visit too.,05-2017,Solo,2020-01-31 17:05:22.986638
,1,76,https://www.tripadvisor.com.sg/Profile/Larry-Crystal,422338055,26-09-2016,4,A Beautiful Temple Adored by Worshippers!,"This Temple is very busy with many adherents giving prayers, burning incense and making offerings.

Lots of local vendors offer Joss Sticks (incense), fresh flowers and fruit for offerings.

This is certainly a part of Singapore Culture. Please be respectful inasmuch as picture taking inside is forbidden. Carpeted areas require that you remove your shoes.

This is a beautifully adorned building.",09-2016,Solo,2020-01-31 17:05:23.379975
,1,76,https://www.tripadvisor.com.sg/Profile/johnkS7647SM,392043698,13-07-2016,5,Why this Temple?,"This is a quick stop. This is not a must see in Singapore. The Buddha Tooth Temple in Chinatown is gigantic and has so much to see. This temple is smaller. You walk in and basically that is everything. There's nothing wrong with that. The reason for going to this one is that every time I've been to it, there are loads of people praying. I've only been by it during the daytime hours. But you'll see people buying flowers and incense and going through their prayer rituals. The inside is pretty. I would not have someone visiting me to go out of their way to visit this unless temples are important to you. I'd much rather them see the one in Chinatown. However, this is a nice and unique place. This one is a pretty temple and I wouldn't spend more than 15 minutes here.

Right next door is also a Hindu Temple so you could see both.",07-2016,Solo,2020-01-31 17:05:23.738235
,1,76,https://www.tripadvisor.com.sg/Profile/HotelCritic17,379536424,04-06-2016,4,A Place of Worship turned Tourist Attraction,"Kuan Yin Thong Hood Cho Temple is a place of worship that is a must for me to drop by whenever i am in Singapore. The temple is not big with a big statue of Guan Yin inside the temple. Other than the devoted locals, there are also a huge number of tourists that make the temple very packed and squeezy. Not advisable to come on weekends or festive occasions.",06-2016,Solo,2020-01-31 17:05:24.138958
,1,76,https://www.tripadvisor.com.sg/Profile/HansiZhai,374492480,19-05-2016,5,Packed,"Probably the most popular temple in Singapore for both Daoists and Buddhists. On the 1st and 15th days of the lunar calendar, expect huge throngs of worshippers. The temple supplies free joss sticks. If you prefer to offer something more extravagant, there are many hawkers lining the mall outside peddling joss and flowers.",05-2016,Solo,2020-01-31 17:05:24.525194
,1,76,https://www.tripadvisor.com.sg/Profile/RyanK3450,524767760,16-09-2017,4,A must to go place for Buddhist when you visit Singapore,Are you Buddhist? Are you looking for temples to visit when you come to Singapore? Kuan Yin Thong Hood Cho temple then should be in your list. The temple locate at another side of Bugis Junction. Just get out of Bugis Junction and asking the local people to get this place. It is not very far from the shopping center just 5mins to reach. This is the place Singaporean visit at weekends to rest their mind and wish the best for their family. There is the local market nearby as well for you to have eye-shopping.,04-2017,Business,2020-01-31 17:05:48.890549
,1,76,https://www.tripadvisor.com.sg/Profile/kan0kmaneek,593471656,06-07-2018,5,cultural,a lot of local Singaporean come here to make merit and pay their faith to Kuan Yin. nice place to visit,08-2017,Friends,2020-01-31 17:06:11.789830
,1,76,https://www.tripadvisor.com.sg/Profile/jonathany689,586315550,10-06-2018,4,Busy Temple,"This temple is just around the corner of Bugis and it is not far from Bugis Junction. During the weekdays, this temple will be full of visitors. They normally come here to offer their prayer and seek blessings. Next to it is a Hindu temple.",06-2018,Friends,2020-01-31 17:06:12.141059
,1,76,https://www.tripadvisor.com.sg/Profile/q1w13,523099225,10-09-2017,5,For praying,"If you want to see the temple, visit here you can see people pray here, i love enjoy the moment when visit there.",09-2017,Friends,2020-01-31 17:06:12.531713
,1,76,https://www.tripadvisor.com.sg/Profile/linweisingapore,473072853,06-04-2017,4,Lunar New Year,"On 28 January 2017, the first day of lunar new year, visited Kuan Yin Thong Temple to pray for good luck and peace at home.

Very crowded on this special day. Axillary police assisted to control crowd. Most local chinese believe that visit to the temple will bring good fortune especially on the first day of lunar new year.

Little smoky and need to watchful on pickpockets.",01-2017,Friends,2020-01-31 17:06:12.908806
,1,76,https://www.tripadvisor.com.sg/Profile/yourtravelbuddysg,454045221,22-01-2017,4,Very old temple here in singapore,"This temple has a very long history. I remember when I was just a small kid, my godmother did bring me to this place and I believe it must have been at least 35 years ago.

This is a very famous temple in Singapore and most probably, 80-90% of the Singaporean have been to this temple in their life at least once. It can get very crowded during the lunar 1st and 15th day of the month and also, especially during the Chinese festival like the Chinese New Year.",01-2017,Friends,2020-01-31 17:06:13.312200
,1,76,https://www.tripadvisor.com.sg/Profile/linweisingapore,448213036,01-01-2017,4,Morning Flower Market,"Today is the first day of 2017 (1 January 2017). Visited Kuan Yin Thong at 7am to ask for blessing.

As it was the early morning, managed to witness the morning flower market is really amazing. Little crowd. Incense burning. Many devotees praying for good luck too.

There was also littls crowd at the nighbouring Hindu Temple. Many devotees will likely visit both temple.

Many vegetarian stalls selling affordable meals.",01-2017,Friends,2020-01-31 17:06:13.733675
,1,76,https://www.tripadvisor.com.sg/Profile/Steve57C,437292700,15-11-2016,4,Very busy,"Not the largest of temples but very busy, on entering there are free josh sticks for you to light, place in the sanded area and say a prayer. Very colourful, not allowed to take photos, worth a visit.",10-2016,Friends,2020-01-31 17:06:14.119367
,1,76,https://www.tripadvisor.com.sg/Profile/linweisingapore,384236158,20-06-2016,4,Pray for Good Luck,"The most famous Goddess of Mercy Temple in town. Very crowded. Opening hours about 7am - 6pm. Nearest MRT station will be Bugis.

Many devotees prayed for blessings. Many burning incenses and joss papers.

Many flower stalls selling lotus, chrysanthemum and jasmine flowers. Many fortune tellers doing palm or lots reading. Many disabled and beggars begging for monies. Some monks asking for alms. Many street performers singing or dancing hoping to get donations.

Many restaurants and food stalls selling vegetarian meals.

Good place to experience Chinese culture. Can complete within 30 minutes. Beware of pickpockets.",01-2016,Friends,2020-01-31 17:06:14.509511
,1,76,https://www.tripadvisor.com.sg/Profile/7SE3,361670377,05-04-2016,4,Popular,This is popular Chinese temple here.The temple very pretty and well maintained.Lots of local devotees.A good temple to visit.,04-2016,Friends,2020-01-31 17:06:14.887585
,1,76,https://www.tripadvisor.com.sg/Profile/HappyBuddha247,357448491,22-03-2016,4,Nice to see some of the olde Singapore.,"Right in the midst of Bugis area the temple is s fantastic slice of Singapore culture. Brilliant, busy and vibrant it's a beaut place to absorb a bit of traditional Singapore. The surrounding stalls and hole in the wall hawker food stalls are also a treat.",03-2016,Friends,2020-01-31 17:06:15.253191
