POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
43,GeylangSerai,173,43,4.3,1GeylangSerai,8:00-22:00,2020-02-11 13:53:43.301254
44,not available,400,44,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-02-11 13:53:57.738603
45,SingaporeArtMuseum,209,45,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-02-11 13:54:14.950032
46,not available,402,46,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-02-11 13:54:31.461491
47,NanyangTechnologicalUniversity,190,47,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-02-11 13:54:49.068761
48,BukitTimahNatureReserve,150,48,4.5,"177HindhedeDriveBukitTimahVhfStation,Singapore589333,Singapore",周六、周日7:00-18:00,2020-02-11 13:55:13.300504
49,PulauUbin,151,49,4.4,"PulauUbin,PulauUbin000701",全天开放,2020-02-11 13:55:25.746752
50,not available,190,50,4.4,Red Dot Design Museum，11 Marina Boulevard. ，Singapore 018940.,全年  10:00-20:00；博物馆内展览&设计商店&咖啡吧&酒吧的开放时间以时令公告为准。。,2020-02-11 13:55:44.663274
51,VictoriaTheatreVictoriaConcertHall,141,51,4.4,"9EmpressPlace,Singapore179556",10:00-21:00,2020-02-11 13:56:05.221946
52,HollandVillage,122,52,4.2,HollandVillage，Singapore,全天开放,2020-02-11 13:56:30.177228
53,TheArtsHouse,119,53,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-02-11 13:56:40.805821
54,BugisVillage,119,54,4.3,"3NewBugisStreet,#03-01,，Singapore188867",11:00-22:00,2020-02-11 13:56:58.012017
55,not available,391,55,4.6,"01-05 Singapore Flyer | Tourist Hub, Singapore, Singapore",9:30-17:30。,2020-02-11 13:57:16.323129
56,FortCanningPark,157,56,4.4,"RiverValleyRd,Singapore179037",全天开放,2020-02-11 13:57:33.493658
57,SingaporePhilatelicMuseum,112,57,4.6,23-BColemanStreet，Singapore179807,"13:00-19:00（周一）,9:30-19:00（周二至周日）。",2020-02-11 13:57:58.007221
58,not available,111,58,4.5,"1 Empress Pl, Singapore 179555",周六-周四10:00-19:00，周五10:00-21:00,2020-02-11 13:58:13.501762
59,JamaeMosque,117,59,4.4,"218SouthBridgeRoad,Singapore058767",周一-周四、周六、周日10:00-18:00；周五10:00-12:00，14:30-18:00；斋戒月的访问时间会有所变化，详情请咨询官网。,2020-02-11 13:58:26.457463
60,WaterfrontPromenade,95,60,4.7,2BayfrontAvenue,全天开放。,2020-02-11 13:58:45.260873
61,not available,109,61,4.6,"10A Siloso Beach Walk, Singapore 099008",11:00-19:00（周一-周日）,2020-02-11 13:59:02.562292
62,IONSky,113,62,4.6,"2OrchardTurnIONOrchard,Level56,Singapore238801",2020年1月27日-2月2日：Adventures in Food Wonderland by Ang Ku Kueh Girl® and Friends™演出时间14:00、16:00、19:00；The Transformation of Orchard Road by Dick Lee演出时间15:00、17:00、20:00。演出时间随节目安排会有变动，详情请参考官网公示信息。,2020-02-11 13:59:21.068824
63,not available,183,63,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-02-11 13:59:42.358638
64,PunggolBeach,72,64,4.3,22PunggolRoad-Track19,全天开放,2020-02-11 13:59:54.862363
65,MacRitchieReservoir,62,65,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-02-11 14:00:13.003323
66,DempseyHill,69,66,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-02-11 14:00:25.045898
67,PasirRisPark,78,67,4.4,"PasirRisCentral,Singapore510534",全天开放。,2020-02-11 14:00:37.291180
68,PeranakanMuseum,77,68,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-02-11 14:00:50.768939
69,not available,0,69,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-02-11 14:01:08.754995
70,HendersonWaves,55,70,4.5,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-02-11 14:01:22.387343
71,MacRitchieNatureTrail,41,71,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-02-11 14:01:41.860984
72,SingaporeCityGallery,54,72,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-02-11 14:01:52.364681
73,CivilDefenceHeritageGallery,67,73,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-02-11 14:02:09.113730
74,not available,1077,74,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-02-11 14:02:32.989128
75,EmeraldHill,67,75,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-02-11 14:02:53.251887
76,not available,0,76,4.6,Suntec City Unit #01-330,,2020-02-11 14:03:10.470232
77,STPICreativeWorkshopGallery,34,77,4.4,41RobertsonQuay，Singapore238236,"周一-周五10:00-19:00;周六9:00-18:00,周日及节假日关闭。",2020-02-11 14:03:21.914859
78,SentosaBeach,311,78,4.5,"SantosaIsland,Singapore",11:00-21:00,2020-02-11 14:03:33.763989
79,not available,285,79,4.5,"48 Pagoda Street, Singapore 059207, Singapore",9:00-20:00（周一至周日），最后入场时间为19:00。每个月的第一个周一闭馆。,2020-02-11 14:03:54.349552
80,not available,654,80,4.7,15 Science Centre Road Singapore 609081,全年  10:00-18:00；科学馆：每天: 10:00am-6:00pm (最晩入场时间 5:15pm)；  萬像电影馆：星期一至五: 12:00pm-6:00pm (最晩一场表演 5:00pm) 周末，学校假期和假日 12:00pm-7:00pm (最晩一场表演时间6:00pm) 2019年闭馆日期：1月7/14/21日；2月4/18/25日。。,2020-02-11 14:04:17.178352
81,not available,473,81,4.5,"30 Imbiah Road, Sentosa Island, Singapore 099958",10:00-20:00（周一-周日）（最后入场时间晚上19:30）,2020-02-11 14:04:27.326156
82,EntertainmentDeckofChangiAirport,162,82,4.8,新加坡樟宜机场T2三层离境过境区域（靠近向日葵花园）,全天开放。娱乐区内各设施开放时间不同，详情请参考樟宜机场官网。,2020-02-11 14:04:49.749738
83,not available,202,83,4.5,8 Sentosa Gateway， Resorts World Sentosa,全年  10:00-19:00；1、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-02-11 14:05:10.265768
84,,9,84,4.4,"Blk333,KretaAyerRoad,#03-23",,2020-02-11 14:05:21.405341
85,,5,85,4,"Blk333,KretaAyerRoad,#03-23",,2020-02-11 14:05:32.995007
86,,2,86,5,SMUSchoolofInformationSystems-BigSteps,,2020-02-11 14:05:43.837371
87,SkatePark,3,87,4.3,"31ExeterRd,Singapore239732",,2020-02-11 14:06:00.562891
88,SingaporeTurfClub,2,88,4.5,"1TurfClubAvenue,SingaporeRacecourse,Singapore738078​",,2020-02-11 14:06:14.647720
89,,2,89,3.5,"Singapore,130EMindenRd,Singapore248819",,2020-02-11 14:06:26.422761
90,FestiveWalk,147,90,4.5,"FestiveWalk,Singapore",全天开放,2020-02-11 14:06:37.884724
91,not available,177,91,4.7,40 Imbiah Road， Sentosa， Singapore 099700,周一至周五：10:00-20:30  最后入馆时间为19:00。特殊日期开放时间：11月9日开放时间为16:15-19:00。以上时间仅供参考，具体以景区当天的安排为准。,2020-02-11 14:07:00.038320
92,Imbiah,120,92,4.4,"Imbiah,（圣淘沙境内）",全天开放,2020-02-11 14:07:13.790366
93,TanjongBeach,133,93,4.5,120TanjongBeachWalk,全天开放。,2020-02-11 14:07:36.856978
94,RafflesPlace,99,94,4.5,"RafflesPlace,Singapore",全天开放,2020-02-11 14:07:48.029396
95,BoatQuay,127,95,4.4,"BonhamSt,Singapore049782",全天开放,2020-02-11 14:08:00.415769
96,,1,96,3,HougangAve7,,2020-02-11 14:08:12.685562
97,FountainofWealth,115,97,4.3,3TemasekBlvd,10:00-12:00;14:00-16:00;18:00-19:30,2020-02-11 14:08:23.958888
98,CavenaghBridge,133,98,4.5,"1FullertonSquare,Singapore049178",全天开放,2020-02-11 14:08:50.867733
99,TheSlideT,84,99,4.5,新加坡樟宜机场T3一层入境大厅,12:00-22:30,2020-02-11 14:09:09.703240
100,MintMuseumofToys,175,100,4.3,26SeahSt,9:30-18:30（最晚入园时间18:00）,2020-02-11 14:09:34.540077
101,HawParVillaTigerBalmGardens,99,101,4.3,"262PasirPanjangRoad,Singapore118628",9:00-22:00（最晚入园时间21:30）；Ten Courts of Hell：9:00-21:30（最后入场时间为21:15）。,2020-02-11 14:09:54.163942
102,XperienceZoneofChangiAirport,81,102,4.8,新加坡樟宜机场T2二层离境过境区域中央的LeeHwa钻石店后面,全天开放,2020-02-11 14:10:15.601068
103,FortSiloso,111,103,4.2,"Siloso,SentosaIsland,Singapore",10:00-18:00（最迟入场下午17:30）,2020-02-11 14:10:32.535065
104,not available,86,104,4.8,"78 Airport Blvd, Singapore 819666",10:00-22:00，各小景点的开放时间以现场实际情况为准。,2020-02-11 14:10:51.106208
105,not available,159,105,4.3,51 Imbiah Rd， Sentosa，, 9:30-19:00（周一-周日） (最迟入场下午18:30）,2020-02-11 14:11:05.124848
106,not available,100,106,4.4,"85 Sultan Gate, Singapore 198501","周一休馆，周二至周日：10:00-18:00（最后入馆时间为下午17:30）。  免费英文导览：周二与周五（11:00 AM） / 周二 与 四（2：00pm） / 周六（2:00 PM） 
免费中文导览：每月第三个周六（1:00 PM）",2020-02-11 14:11:14.834992
107,ChildrensPlaygroundofChangiAirport,69,107,4.6,新加坡樟宜机场T1、T2、T3的离境过境区域内,全天开放,2020-02-11 14:11:34.259424
108,TheSocialTreeofChangiAirport,66,108,4.5,新加坡樟宜机场T1二层离境过境区域中央广场,全天开放,2020-02-11 14:11:58.750930
109,CraneDanceatResortWorldSentosa,82,109,4.7,"8SentosaGateway,",20:00开始。,2020-02-11 14:12:11.615041
110,ArmenianChurch,118,110,4.4,"60HillSt,Singapore179366",10:00-18:00,2020-02-11 14:12:24.048787
111,WaveHouseSentosa,77,111,4.5,圣淘沙西乐索海滩步道36号,周一-周五11:30-21:30 周末和新加坡公众假期10:30-21:30,2020-02-11 14:12:36.248148
112,CivilianWarMemorial,139,112,4.3,"WarMemorialParkBeachRoad,Singapore",全天开放,2020-02-11 14:12:54.229229
113,SungeiBulohWetlandReserve,76,113,4.5,301NeoTiewCrescentSingapore718925,7:30-19:00（周一至周六）；7:00-19:00（周日与公共假日）,2020-02-11 14:13:05.983405
114,InteractiveArtStationofChangiAirport,46,114,4.5,新加坡樟宜机场T1、T2、T3,全天开放,2020-02-11 14:13:26.099588
115,ThianHockKengTemple,100,115,4.3,158TelokAyerStreet,7:30-17:30,2020-02-11 14:13:46.097685
116,VolcanoLand,57,116,4.3,39ArtilleryAve,暂停营业,2020-02-11 14:13:59.162404
117,not available,142,117,4.7,"#01 Sentosa Island, 43 Siloso Beach Walk, 01, Singapore 099010",周一、周二、周四和周五（10:00-21:30），周三（12:00-21:30），周六和周日（10:00-11:30，12:00-17:30，18:00-21:30），其中2020年的1月15日提早闭园（最后一场飞行时间在17点，因此您至少需要在16点前在柜台办理登记）。,2020-02-11 14:14:15.083612
118,OneFullerton,99,118,4.4,1FullertonRd,全天开放,2020-02-11 14:14:33.498106
119,StJohnsIsland,50,119,4.3,StJohn'sIsland，Singapore,,2020-02-11 14:14:50.773993
120,FlowerDome,100,120,4.6,"18MarinaGardensDriveGardensBytheBay,Singapore018953,Singapore",9:00-21:00，最后售票时间：20:00；最后入场时间：20:00。,2020-02-11 14:15:03.782778
121,JooChiatCommunityCentre,81,121,4.3,"113EastCoastRoad,Singapore428803",全天开放,2020-02-11 14:15:15.946784
122,CloudForest,112,122,4.9,"GardensbytheBay|18MarinaGardensDrive,Singapore018953,Singapore",9:00-21:00，最后入场和售票时间为20:00。迷雾时间10:00、12:00、14:00、 16:00、18:00、20:00。更多开放时间请以官网公示为准。,2020-02-11 14:15:40.361026
123,not available,45,123,4.8,"Singapore River, Singapore","每天9:00 AM - 23:00 PM（每30分钟一班）
最后一班船出发时间为22:30 PM",2020-02-11 14:15:59.313918
124,RafflesLandingSite,126,124,4.2,"SingaporeRiver,attheendofOldParliamentLane,Singapore",全天开放,2020-02-11 14:16:14.465111
125,Orchidville,52,125,4.3,"82SungeiTengahRd,Singapore698985",周一-周日9:30-21:30，公共假日9:30-21:30。,2020-02-11 14:16:35.270617
126,HerbSpiceGarden,48,126,4.5,在圣淘沙鱼尾狮公园后面,,2020-02-11 14:16:53.746626
127,not available,137,127,4.1,51B Imbiah Road,10：00-21:00 其中4合1游戏配套的最后入场时间：19:30；单项游戏的最后入场时间：20:45，以上时间仅供参考，具体以景区现场安排为准。,2020-02-11 14:17:05.074614
128,not available,85,128,4.3,"12 Tai Gin Road Sun Yat Sen Nanyang Memorial Hall, Singapore 327874, Singapore","周二-周日10:00-17:00，周一休馆。（最晚入园时间16:30） 免费英文向导：周二 - 周五：2:00 PM / 周六 - 周日：3:00 PM
 免费普通话向导：周二，周四，周六，周日：2:30 PM
",2020-02-11 14:17:18.049048
129,SingaporeDiscoveryCentre,75,129,4.2,510UpperJurongRoad,周二-周日9:00-18:00，周一闭馆（公共假期和学期假期除外）。,2020-02-11 14:17:37.311488
130,TimbreTheSubstation,29,130,4.3,"45ArmenianStreet,Singapore179936,Singapore",周二-周四、周日18:00-次日1:00，周五、周六18:00-次日2:00，周一关闭,2020-02-11 14:17:56.591701
131,not available,75,131,4.4,"40 Imbiah Rd, Imbiah Lookout Sentosa, Singapore 099700",全年  11:00-19:00；最后一场的时间是19:00，以上时间仅供参考，具体以景区当天的安排为准。。,2020-02-11 14:18:11.004815
132,Istana,128,132,4.6,"OrchardRoad,Singapore238823",暂停营业,2020-02-11 14:18:36.146340
133,SentosaNatureDiscovery,54,133,4.5,40ImbiahRoad,9:00-17:00,2020-02-11 14:18:54.629008
134,ShentonWay,41,134,4.3,"ShentonWay,Singapore",全天开放,2020-02-11 14:19:13.255907
135,CineBlast,46,135,4.4,51BImbiahRoad,8:00–18:00,2020-02-11 14:19:24.956134
136,ChangiVillage,42,136,4.5,Singapore,全天开放,2020-02-11 14:19:43.560934
137,AbdulGaffoorMosque,54,137,4.4,"41DunlopStreet,Singapore,Singapore",周六-周四10:00-12:00，14:00-16:00；周五14:30-16:00,2020-02-11 14:20:06.711947
138,TheSouthernRidges,27,138,4.7,",TheSouthernRidgesSingapore099203",全天开放,2020-02-11 14:20:40.783090
139,CanopyPlaygroundofChangiAirport,31,139,4.4,新加坡樟宜机场T1三层公共区域ViewingMall,10:30-22:30,2020-02-11 14:20:57.953616
140,SingaporeManagementUniversity,45,140,4.4,"70StamfordRoad,#B1-38a,Singapore178901",,2020-02-11 14:21:08.944037
141,ChangiBeach,44,141,4.3,"ChangiBeach,Singapore",全天开放,2020-02-11 14:21:22.000909
142,SupertreeGrove,66,142,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",5:00-次日2:00,2020-02-11 14:21:33.886159
143,LibraryOrchard,76,143,4.7,"277OrchardRoad,OrchardGateway,Singapore",11:00-21:00；圣诞节前夕17:00关闭，新年和中国新年、公众假期闭馆。,2020-02-11 14:21:51.217559
144,SakyaMuniBuddhaGayaTemple,39,144,4.2,"336RaceCourseRd.,Singapore,Singapore",8:30-16:45,2020-02-11 14:22:02.545441
145,not available,37,145,4.5,50 Beach View， #01-k5， Gogreen Hub,思维车探险旅程：10:00-19:30（周一-周日）（首轮探险旅程：上午10:30，最后出发时间：18:30） 思维车乐趣游：10:00-19:30（最后出发时间19:00）,2020-02-11 14:22:12.555635
146,KusuIsland,56,146,4.1,10KhusuIsland,全天开放,2020-02-11 14:22:35.136498
147,KranjiWarMemorial,50,147,4.1,9WoodlandsRoad,全天开放,2020-02-11 14:22:45.562625
148,TheChangiMuseum,47,148,4.1,"1000,UpperChangiRoadNorth,Singapore507707",9:30-17:00（16:30停止入场）,2020-02-11 14:22:57.101417
149,JurongLakeGardens,30,149,4.6,"1ChineseGarden,Singapore619795,Singapore",全天开放,2020-02-11 14:23:09.250108
150,SuntecSingaporeInternationalConventionandExhibitionCentre,43,150,4.7,"1RafflesBoulevard,Singapore039593,Singapore",7:00-23:00,2020-02-11 14:23:23.119732
151,not available,99,151,4.7,Palawan Kidz City. 31 Beach View #01-01/02 Singapore 098008,10:00-18:00，最晚入园时间：16:30，园区内最后一场角色扮演的时间：17:30。以下日期景区闭园，请您改期前往：2020年1月15日，2月12/19/26日、4月29日、5月6/13日、8月19日、9月16日。以上时间仅供参考，实际开放时间以景区当天为准。,2020-02-11 14:23:38.392594
152,KuanImThongHoodChoTemple,37,152,4.4,"178WaterlooSt.,Singapore187964,Singapore",周一-周日6:00-18:00,2020-02-11 14:23:50.096961
153,MalabarMosque,33,153,4.2,"471VictoriaStreet,Singapore198370",全天开放,2020-02-11 14:24:01.273344
154,NationalLibraryofSingapore,91,154,4.8,"100VictoriaStreet,Singapore188064,Singapore",10:00-21:00，圣诞节前夕、新年和农历新年17:00关闭，公众假期休息。,2020-02-11 14:24:21.816131
155,KranjiFarm,25,155,4.4,"WoodlandsRd,Singapore738702",全天,2020-02-11 14:24:31.867186
156,GogreenBicycleRental,17,156,4.4,"GogreenSegwayEcoAdventure,SilosoBeach,Sentosa",全天开放,2020-02-11 14:24:43.819719
157,ZoneXofChangiAirport,37,157,4.3,新加坡樟宜机场T3地下二层（公共区域）,10:00-23:00,2020-02-11 14:24:54.767396
158,FormulaSingaporeGrandPrix,21,158,4.4,"MarinaBay,Singapore",暂停营业,2020-02-11 14:25:07.006743
159,VanKleefAquarium,50,159,4.4,史丹福路乔治五世公园内,,2020-02-11 14:25:25.287091
160,LauPaSat,60,160,4.4,"18RafflesQuayTelokAyerFestivalMarket,Singapore048582",全天开放,2020-02-11 14:25:39.373177
161,OCBCSkyway,32,161,4.7,"18MarinaGardensDriveGardensBytheBay|GardensbytheBay,Singapore018953,Singapore",9:00-21:00（最后售票和入场时间为20:00）；将在以下日期关闭进行维护：2月17日、3月23日、4月20日、5月4日、6月1日、7月20日、8月24日、9月28日、10月19日、11月16日、12月21日；景点可能会因容量，恶劣天气，特殊事件或其他原因而更改营业时间，具体开放时间请见官网公示信息。,2020-02-11 14:25:50.396038
162,CathedraloftheGoodShepherd,31,162,4.1,"AQueenStreet,Singapore188533",每天弥撒时间不同，具体请查看官网。,2020-02-11 14:26:03.408973
163,MarinaSquare,11,163,4.5,6RafflesBoulevard,10:00-22:00,2020-02-11 14:26:22.658545
164,TanjongPagar,35,164,4.5,"21McCallumSt,Singapore069047",全天开放,2020-02-11 14:26:34.117288
165,CentralBusinessDistrict,51,165,4.6,"ShentonWay,Singapore,Singapore",,2020-02-11 14:26:45.950486
166,AngMoKioTown,20,166,3.3,新加坡,全天开放,2020-02-11 14:27:03.131294
167,AndersonBridge,51,167,4.5,"MouthofSingaporeRiver,Singapore,Singapore",,2020-02-11 14:27:15.466659
168,TheLuxeHouse,19,168,4.3,"BLK7ADempseyRoad,Singapore",13:00-次日1:00，23:00为最后招待时间,2020-02-11 14:27:34.090042
169,CentralFireStation,48,169,4.6,"62HillStreet,Singapore,Singapore",,2020-02-11 14:27:51.373307
170,KentRidgePark,19,170,4.4,"Vigilantedrive,Singapore,Singapore",全天开放,2020-02-11 14:28:07.351550
171,Spectra,28,171,4.6,MarinaBay,周一-周四、周日：20:00、21:00两场；周五、周六：20:00、21:00、22:00三场；每场表演约15分钟。,2020-02-11 14:28:26.951632
